code_bar,name,pvp
7795371459443,ULTRAFLEX LATA X 300 G,8682.12
7509552843620,DERMO EXPERT REV HIALU SERUM,7313
3337875543248,VICHY MINERAL 89 X 50,13750
3337875583626,HYALU B5 SERUM X30ML,19800
7795323002420,NUTRILON PROFU 1 LATA X800GR,7831
7795323773894,NUTRILON PROFU 1 POCH X1.2KG,10278
7795323002437,NUTRILON PROFU 2 LATA X800GR,7444
7795323002444,NUTRILON PROFU 3 LATA X800GR,6541
7795323773900,NUTRILON PROFU 3 POCH X1.2KG,8591
7891010882983,NEUTROGENA HYDRO BOOST W/GEL,4279.21
4005900140906,EUCERIN SOL 50 T/SECO GELX 50,7731.9
7792981010026,ENA CREATINA MONO ENV X 300G,12900
7792981062018,ENA WHEY PR TRUE CHOCO X1000G,10700
7792981062025,ENA WHEY PR TRUE COOKI X1000G,10700
7792981060021,ENA WHEY PR TRUE VAINI X1000G,10700
7793742003431,DERMAGLOS SOLAR F50 EMUL X250,4877.28
7795371459559,BLUE-VIT B12 CM MAST ANANAX20,2105
7795371459504,ULTRAFLEX MAGNESIO LATA X 420,9820.44
4580193651440,CITIZEN TEN DIGITAL AUT GDE,21780
4580193650870,CITIZEN TENSIOM DIG MUÑ CH617,15620
4580193651389,CITIZEN TERMOMETRO CLINIC DIG,1570
7798028884230,SILFAB ALMTE CERVICAL,12390
7798028884223,SILFAB ALMTE LARGE,12890
7798028882922,SILFAB BALANZA ELECT BC304,10690
7798028883073,SILFAB BALANZA ELECT BE211,8360
7798028881895,SILFAB BALANZA MECANICA BM100,6990
7798028882649,SILFAB MANTA 1 PZA POLI 3 TEM,16370
7798028880386,SILFAB NEBU A PISTON PIU VENT,21650
7798028882687,SILFAB NEBU A PISTON PIXEL,21650
7798028882168,SILFAB NEBU ULTRA SF POTENZA,28420
7798028883783,SILFAB OXIM PULSO DE DEDO,9260
4580193651440,CITIZEN TEN DIGITAL AUT GDE,25050
4580193650870,CITIZEN TENSIOM DIG MUÑ CH617,17970
4580193651389,CITIZEN TERMOMETRO CLINIC DIG,1810
7798028884230,SILFAB ALMTE CERVICAL,14250
7798028884223,SILFAB ALMTE LARGE,14820
7798028882922,SILFAB BALANZA ELECT BC304,12290
7798028883073,SILFAB BALANZA ELECT BE211,9620
7798028881895,SILFAB BALANZA MECANICA BM100,8040
7798028882649,SILFAB MANTA 1 PZA POLI 3 TEM,18820
7798028880386,SILFAB NEBU A PISTON PIU VENT,24900
7798028882687,SILFAB NEBU A PISTON PIXEL,24900
7798028882168,SILFAB NEBU ULTRA SF POTENZA,32690
7798028883783,SILFAB OXIM PULSO DE DEDO,9730
